frame,num_particles,solver_iters,max_neighbors,sort_every_n,sim_ms_gpu,clear,points_speed,present,gpu_0,render_ms,frame_ms,fps,profile
94,1.024e+06,2,64,1,-1,0.1439,0.0005,0.183,0.003072,3.5983,4.4547,224.482,""
95,1.024e+06,2,64,1,-1,0.1241,0.0005,0.1476,0.003072,3.5975,4.4178,226.357,""
96,1.024e+06,2,64,1,-1,0.1194,0.0006,0.1451,0.003936,3.6037,4.4367,225.393,""
97,1.024e+06,2,64,1,-1,0.1299,0.0005,0.1466,0.004096,3.7341,4.6479,215.151,""
98,1.024e+06,2,64,1,-1,0.1283,0.0007,0.1631,0.003072,3.6512,4.5198,221.249,""
99,1.024e+06,2,64,1,-1,0.1381,0.0007,0.1631,0.003968,3.6039,4.451,224.669,""
100,1.024e+06,2,64,1,-1,0.1507,0.0006,0.1868,0.003072,3.4425,4.4382,225.317,""
101,1.024e+06,2,64,1,-1,0.1142,0.0004,0.1438,0.003072,3.5916,4.4384,225.306,""
102,1.024e+06,2,64,1,-1,0.12,0.0005,0.1445,0.003072,3.661,4.4282,225.825,""
103,1.024e+06,2,64,1,-1,0.1268,0.0007,0.1869,0.003072,3.4842,4.4583,224.301,""
104,1.024e+06,2,64,1,-1,0.1247,0.0005,0.1612,0.003936,3.4155,4.4084,226.84,""
105,1.024e+06,2,64,1,-1,0.1298,0.0007,0.1623,0.003072,3.4773,4.4438,225.033,""
106,1.024e+06,2,64,1,-1,0.1293,0.0005,0.1471,0.003072,3.7334,4.4748,223.474,""
107,1.024e+06,2,64,1,-1,0.1248,0.0005,0.157,0.004032,3.4645,4.4509,224.674,""
108,1.024e+06,2,64,1,-1,0.1319,0.0005,0.1653,0.004,3.742,4.4639,224.019,""
109,1.024e+06,2,64,1,-1,0.1241,0.0005,0.1522,0.003072,3.4919,4.5057,221.941,""
110,1.024e+06,2,64,1,-1,0.1357,0.0006,0.1581,0.003072,3.6821,4.422,226.142,""
111,1.024e+06,2,64,1,-1,0.1355,0.0087,0.1548,0.003072,3.4383,4.462,224.115,""
112,1.024e+06,2,64,1,-1,0.1224,0.0005,0.1482,0.003072,3.715,4.5114,221.661,""
113,1.024e+06,2,64,1,-1,0.1297,0.0005,0.1504,0.004096,3.6996,4.5438,220.08,""
114,1.024e+06,2,64,1,-1,0.12,0.0005,0.1584,0.004096,3.4417,4.4235,226.065,""
115,1.024e+06,2,64,1,-1,0.1264,0.0006,0.158,0.003072,3.4923,4.5147,221.499,""
116,1.024e+06,2,64,1,-1,0.1401,0.0007,0.1523,0.003072,3.6801,4.4591,224.261,""
117,1.024e+06,2,64,1,-1,0.1089,0.0005,0.1476,0.003072,3.4353,4.4373,225.362,""
118,1.024e+06,2,64,1,-1,0.1266,0.0005,0.1578,0.003072,3.428,4.4548,224.477,""
119,1.024e+06,2,64,1,-1,0.1373,0.0006,0.1611,0.003072,3.6906,4.4726,223.584,""
120,1.024e+06,2,64,1,-1,0.1287,0.0004,0.151,0.003072,3.706,4.5311,220.697,""
121,1.024e+06,2,64,1,-1,0.1285,0.0006,0.1573,0.003072,3.4627,4.4988,222.281,""
122,1.024e+06,2,64,1,-1,0.1419,0.0005,0.157,0.004032,3.5543,4.4534,224.548,""
123,1.024e+06,2,64,1,-1,0.1214,0.0004,0.1423,0.003072,3.5079,4.4348,225.489,""
124,1.024e+06,2,64,1,-1,0.1294,0.0007,0.1568,0.003072,3.5102,4.4629,224.07,""
125,1.024e+06,2,64,1,-1,0.1451,0.0006,0.1604,0.004064,3.3705,4.5589,219.351,""
126,1.024e+06,2,64,1,-1,0.1217,0.0005,0.1467,0.003072,3.5358,4.5168,221.396,""
127,1.024e+06,2,64,1,-1,0.1243,0.0005,0.1531,0.003072,3.4583,4.4368,225.388,""
128,1.024e+06,2,64,1,-1,0.1421,0.0006,0.1577,0.003072,3.6405,4.52,221.239,""
129,1.024e+06,2,64,1,-1,0.1232,0.0006,0.1491,0.004032,3.6419,4.5511,219.727,""
130,1.024e+06,2,64,1,-1,0.1232,0.0006,0.1468,0.003072,3.6268,4.4364,225.408,""
131,1.024e+06,2,64,1,-1,0.136,0.0006,0.1558,0.004,3.6451,4.5595,219.322,""
132,1.024e+06,2,64,1,-1,0.1267,0.0005,0.1489,0.004096,3.6851,4.439,225.276,""
133,1.024e+06,2,64,1,-1,0.1275,0.0005,0.1553,0.003072,3.6574,4.4376,225.347,""
134,1.024e+06,2,64,1,-1,0.1504,0.0004,0.172,0.003072,3.7348,4.484,223.015,""
135,1.024e+06,2,64,1,-1,0.1269,0.0005,0.1518,0.003072,3.6879,4.5428,220.129,""
136,1.024e+06,2,64,1,-1,0.1292,0.0006,0.152,0.003072,3.69,4.4495,224.744,""
137,1.024e+06,2,64,1,-1,0.126,0.0005,0.1606,0.003072,3.7324,4.688,213.311,""
138,1.024e+06,2,64,1,-1,0.1311,0.0006,0.1557,0.004096,3.6958,4.4418,225.134,""
139,1.024e+06,2,64,1,-1,0.1496,0.0005,0.1571,0.003072,3.3642,4.456,224.417,""
140,1.024e+06,2,64,1,-1,0.1393,0.0006,0.1583,0.004096,3.4066,4.5039,222.03,""
141,1.024e+06,2,64,1,-1,0.1298,0.0005,0.144,0.003936,3.5627,4.4484,224.8,""
142,1.024e+06,2,64,1,-1,0.1274,0.0005,0.1612,0.003072,3.6904,4.4709,223.669,""
143,1.024e+06,2,64,1,-1,0.1246,0.0006,0.1518,0.003072,3.4048,4.5113,221.666,""
144,1.024e+06,2,64,1,-1,0.1351,0.0005,0.1576,0.003872,3.3621,4.4266,225.907,""
145,1.024e+06,2,64,1,-1,0.1318,0.0005,0.1523,0.003072,3.7018,4.4793,223.249,""
146,1.024e+06,2,64,1,-1,0.1232,0.0005,0.1478,0.003072,3.7292,4.4664,223.894,""
147,1.024e+06,2,64,1,-1,0.136,0.0006,0.1529,0.003872,3.7395,4.4535,224.542,""
148,1.024e+06,2,64,1,-1,0.126,0.0005,0.1504,0.003072,3.4312,4.5433,220.104,""
