frame,num_particles,solver_iters,max_neighbors,sort_every_n,sim_ms_gpu,clear,points,points_speed,present,gpu_0,render_ms,frame_ms,fps,profile
104,1.024e+06,1,64,1,-1,0.3019,0.0004,0.0492,0.2867,0.003072,3.6141,4.2432,235.671,""
105,1.024e+06,1,64,1,-1,0.314,0.0003,0.0464,0.3012,0.003008,3.551,4.2783,233.738,""
106,1.024e+06,1,64,1,-1,0.3202,0.0005,0.048,0.2577,0.003072,3.7082,4.3362,230.617,""
107,1.024e+06,1,64,1,-1,0.2877,0.0005,0.0557,0.3009,0.002048,3.6753,4.3252,231.203,""
108,1.024e+06,1,64,1,-1,0.2933,0.0004,0.0478,0.2689,0.003072,3.71,4.2956,232.796,""
109,1.024e+06,1,64,1,-1,0.2919,0.0004,0.0488,0.2875,0.002048,3.6125,4.3453,230.134,""
110,1.024e+06,1,64,1,-1,0.3334,0.0005,0.0524,0.3273,0.00304,3.4934,4.3687,228.901,""
111,1.024e+06,1,64,1,-1,0.3711,0.0006,0.0704,0.3067,0.003072,3.6888,4.298,232.666,""
112,1.024e+06,1,64,1,-1,0.3186,0.0005,0.0489,0.2856,0.003072,3.4434,4.3572,229.505,""
113,1.024e+06,1,64,1,-1,0.3452,0.0005,0.0541,0.3968,0.002048,3.6885,4.3566,229.537,""
114,1.024e+06,1,64,1,-1,0.3015,0.0004,0.0485,0.2785,0.002976,3.7474,4.3336,230.755,""
115,1.024e+06,1,64,1,-1,0.311,0.0005,0.064,0.3319,0.002048,3.6092,4.3425,230.282,""
116,1.024e+06,1,64,1,-1,0.302,0.0005,0.0505,0.3243,0.002048,3.6873,4.2958,232.786,""
117,1.024e+06,1,64,1,-1,0.321,0.0004,0.0502,0.3014,0.002048,3.7207,4.3153,231.734,""
118,1.024e+06,1,64,1,-1,0.3034,0.0004,0.0472,0.28,0.003072,3.693,4.3607,229.321,""
119,1.024e+06,1,64,1,-1,0.3002,0.0004,0.0502,0.3154,0.002048,3.5924,4.4927,222.583,""
120,1.024e+06,1,64,1,-1,0.216,0.0003,0.059,0.349,0.002048,3.6638,4.3785,228.389,""
121,1.024e+06,1,64,1,-1,0.3288,0.0004,0.0662,0.3854,0.003072,3.5771,4.3654,229.074,""
122,1.024e+06,1,64,1,-1,0.2915,0.0003,0.0477,0.3984,0.002048,3.5173,4.3595,229.384,""
123,1.024e+06,1,64,1,-1,0.3403,0.0006,0.0665,0.4099,0.003072,3.7101,4.3392,230.457,""
124,1.024e+06,1,64,1,-1,0.3959,0.0006,0.0584,0.409,0.003072,3.7073,4.3968,227.438,""
125,1.024e+06,1,64,1,-1,0.3394,0.0005,0.0497,0.3015,0.002048,3.4268,4.3486,229.959,""
126,1.024e+06,1,64,1,-1,0.3011,0.0005,0.0487,0.261,0.002976,3.6283,4.3796,228.331,""
127,1.024e+06,1,64,1,-1,0.3275,0.0005,0.0652,0.3473,0.002976,3.5144,4.4031,227.113,""
128,1.024e+06,1,64,1,-1,0.3245,0.0005,0.0497,0.3255,0.002048,3.4071,4.3312,230.883,""
129,1.024e+06,1,64,1,-1,0.3114,0.0005,0.0509,0.2942,0.00304,3.601,4.3378,230.532,""
130,1.024e+06,1,64,1,-1,0.2912,0.0005,0.0475,0.2946,0.003072,3.4826,4.381,228.258,""
131,1.024e+06,1,64,1,-1,0.289,0.0004,0.048,0.2714,0.002048,3.6563,4.3512,229.822,""
132,1.024e+06,1,64,1,-1,0.3791,0.0004,0.0662,0.2961,0.003072,3.4302,4.3359,230.633,""
133,1.024e+06,1,64,1,-1,0.3008,0.0006,0.0481,0.2747,0.002048,3.4554,4.398,227.376,""
134,1.024e+06,1,64,1,-1,0.3117,0.0005,0.0487,0.3069,0.002048,3.8569,4.6263,216.155,""
135,1.024e+06,1,64,1,-1,0.3229,0.0005,0.0484,0.2797,0.003072,3.7388,4.3674,228.969,""
136,1.024e+06,1,64,1,-1,0.3779,0.0004,0.0582,0.3898,0.003072,3.8641,4.6505,215.031,""
137,1.024e+06,1,64,1,-1,0.3658,0.0006,0.0542,0.3536,0.001024,3.7407,4.4016,227.19,""
138,1.024e+06,1,64,1,-1,0.3459,0.0005,0.0473,0.2662,0.003072,3.6963,4.3692,228.875,""
139,1.024e+06,1,64,1,-1,0.3275,0.0005,0.047,0.2868,0.001024,3.7452,4.4639,224.019,""
140,1.024e+06,1,64,1,-1,0.3181,0.0005,0.047,0.2958,0.002048,3.8378,4.4516,224.638,""
141,1.024e+06,1,64,1,-1,0.398,0.0004,0.0543,0.342,0.003072,3.7545,4.3566,229.537,""
142,1.024e+06,1,64,1,-1,0.3483,0.0005,0.0556,0.3794,0.002048,3.7431,4.4585,224.291,""
143,1.024e+06,1,64,1,-1,0.2882,0.0005,0.049,0.2673,0.002048,3.6935,4.413,226.603,""
144,1.024e+06,1,64,1,-1,0.3163,0.0006,0.0642,0.3217,0.001952,3.6086,4.4473,224.856,""
145,1.024e+06,1,64,1,-1,0.3099,0.0005,0.0474,0.3343,0.002048,3.7835,4.4264,225.917,""
146,1.024e+06,1,64,1,-1,0.1926,0.0003,0.0672,0.3967,0.002048,3.5964,4.4031,227.113,""
147,1.024e+06,1,64,1,-1,0.3985,0.0007,0.0653,0.3506,0.002048,3.5771,4.4612,224.155,""
148,1.024e+06,1,64,1,-1,0.3218,0.0005,0.0494,0.3065,0.003072,3.7281,4.4244,226.019,""
149,1.024e+06,1,64,1,-1,0.3064,0.0005,0.0485,0.2605,0.002048,3.8724,4.4714,223.644,""
150,1.024e+06,1,64,1,-1,0.3548,0.0005,0.0661,0.2917,0.002048,3.5821,4.3599,229.363,""
151,1.024e+06,1,64,1,-1,0.3496,0.0006,0.0663,0.4285,0.002048,3.6965,4.399,227.324,""
152,1.024e+06,1,64,1,-1,0.4033,0.0006,0.0731,0.4352,0.002048,3.6228,4.3672,228.98,""
153,1.024e+06,1,64,1,-1,0.3064,0.0006,0.0481,0.2786,0.002048,3.8693,4.6765,213.835,""
154,1.024e+06,1,64,1,-1,0.3014,0.0005,0.048,0.2826,0.002016,3.7841,4.3551,229.616,""
155,1.024e+06,1,64,1,-1,0.2986,0.0005,0.0478,0.3294,0.001024,3.9561,4.56,219.298,""
156,1.024e+06,1,64,1,-1,0.3334,0.0006,0.0574,0.3237,0.002048,3.5485,4.5313,220.687,""
157,1.024e+06,1,64,1,-1,0.383,0.0005,0.0653,0.3941,0.003072,3.2197,4.3911,227.733,""
158,1.024e+06,1,64,1,-1,0.3154,0.0005,0.0503,0.2853,0.002048,3.6938,4.4167,226.413,""
159,1.024e+06,1,64,1,-1,0.3251,0.0005,0.0573,0.3278,0.002048,3.7079,4.4246,226.009,""
160,1.024e+06,1,64,1,-1,0.3377,0.0005,0.0618,0.3117,0.002048,3.7852,4.4049,227.02,""
161,1.024e+06,1,64,1,-1,0.3075,0.0004,0.0476,0.3218,0.002048,3.4281,4.3113,231.949,""
162,1.024e+06,1,64,1,-1,0.3191,0.0004,0.0524,0.2839,0.002048,3.8212,4.4205,226.219,""
163,1.024e+06,1,64,1,-1,0.3484,0.001,0.0696,0.3544,0.003072,3.9172,4.6215,216.38,""
164,1.024e+06,1,64,1,-1,0.3083,0.0005,0.0495,0.302,0.002048,3.6114,4.3869,227.951,""
165,1.024e+06,1,64,1,-1,0.309,0.0005,0.0493,0.2821,0.00192,3.5436,4.5032,222.064,""
166,1.024e+06,1,64,1,-1,0.3026,0.0004,0.0492,0.3432,0.002048,3.7355,4.3572,229.505,""
167,1.024e+06,1,64,1,-1,0.3369,0.0006,0.0579,0.3359,0.001984,3.8007,4.4162,226.439,""
168,1.024e+06,1,64,1,-1,0.4118,0.0007,0.0569,0.301,0.002048,3.7342,4.461,224.165,""
169,1.024e+06,1,64,1,-1,0.3334,0.0005,0.0498,0.2988,0.002048,3.6085,4.5974,217.514,""
170,1.024e+06,1,64,1,-1,0.3145,0.0005,0.0533,0.3228,0.002048,3.8819,4.5118,221.641,""
171,1.024e+06,1,64,1,-1,0.2894,0.0005,0.0477,0.3099,0.002048,3.7925,4.4244,226.019,""
172,1.024e+06,1,64,1,-1,0.4002,0.0006,0.0604,0.3864,0.002048,3.2819,4.4279,225.841,""
173,1.024e+06,1,64,1,-1,0.3933,0.0007,0.0621,0.3366,0.001024,3.4319,4.4144,226.531,""
174,1.024e+06,1,64,1,-1,0.2945,0.0005,0.0467,0.2502,0.002048,3.6012,4.4481,224.815,""
175,1.024e+06,1,64,1,-1,0.3169,0.0005,0.067,0.3759,0.001024,3.8606,4.4862,222.906,""
176,1.024e+06,1,64,1,-1,0.3213,0.0005,0.0472,0.2754,0.001024,3.7414,4.3922,227.676,""
177,1.024e+06,1,64,1,-1,0.3155,0.0004,0.0471,0.2926,0.002048,3.7675,4.3671,228.985,""
178,1.024e+06,1,64,1,-1,0.3986,0.0006,0.0655,0.4347,0.002048,3.646,4.4395,225.251,""
179,1.024e+06,1,64,1,-1,0.3503,0.0006,0.0543,0.359,0.001024,3.5795,4.3812,228.248,""
180,1.024e+06,1,64,1,-1,0.345,0.0006,0.0499,0.302,0.002048,3.8077,4.6004,217.372,""
181,1.024e+06,1,64,1,-1,0.3979,0.0004,0.0664,0.3724,0.003072,3.406,4.6749,213.908,""
182,1.024e+06,1,64,1,-1,0.3369,0.0006,0.0729,0.522,0.001024,3.7495,4.4786,223.284,""
183,1.024e+06,1,64,1,-1,0.372,0.0005,0.0548,0.3986,0.002048,3.7972,4.4891,222.762,""
184,1.024e+06,1,64,1,-1,0.3415,0.0005,0.0566,0.4946,0.004096,3.8802,4.6533,214.901,""
185,1.024e+06,1,64,1,-1,0.3115,0.0006,0.0501,0.2741,0.002048,3.6943,4.3868,227.957,""
186,1.024e+06,1,64,1,-1,0.2962,0.0005,0.0496,0.2853,0.002048,3.9311,4.5287,220.814,""
187,1.024e+06,1,64,1,-1,0.3174,0.0005,0.0487,0.3391,0.002048,3.7695,4.4186,226.316,""
188,1.024e+06,1,64,1,-1,0.3659,0.0004,0.0567,0.3566,0.002048,4.0148,4.6698,214.142,""
189,1.024e+06,1,64,1,-1,0.3518,0.0005,0.0534,0.3404,0.002048,3.7405,4.4354,225.459,""
190,1.024e+06,1,64,1,-1,0.3407,0.0007,0.0635,0.375,0.00192,3.4901,4.4174,226.378,""
191,1.024e+06,1,64,1,-1,0.3046,0.0004,0.0484,0.2717,0.001024,3.8367,4.4374,225.357,""
192,1.024e+06,1,64,1,-1,0.2983,0.0005,0.0511,0.2697,0.003072,3.8101,4.4129,226.608,""
193,1.024e+06,1,64,1,-1,0.3951,0.0009,0.0753,0.4355,0.003072,3.5617,4.4507,224.684,""
194,1.024e+06,1,64,1,-1,0.3669,0.0007,0.0639,0.3493,0.00304,3.9053,4.6137,216.746,""
195,1.024e+06,1,64,1,-1,0.3276,0.0004,0.0485,0.2721,0.002048,4.0732,4.7643,209.894,""
196,1.024e+06,1,64,1,-1,0.3346,0.0005,0.0636,0.355,0.002048,3.645,4.3721,228.723,""
197,1.024e+06,1,64,1,-1,0.2871,0.0006,0.0456,0.3146,0.001024,3.7627,4.4009,227.226,""
198,1.024e+06,1,64,1,-1,0.3885,0.0004,0.0556,0.3234,0.002048,3.8152,4.4164,226.429,""
199,1.024e+06,1,64,1,-1,0.3434,0.0005,0.0513,0.2729,0.003072,3.5959,4.5783,218.422,""
200,1.024e+06,1,64,1,-1,0.3296,0.0007,0.0675,0.3466,0.002048,3.6858,4.4085,226.835,""
201,1.024e+06,1,64,1,-1,0.2992,0.0005,0.0509,0.3193,0.001024,3.8245,4.5683,218.9,""
202,1.024e+06,1,64,1,-1,0.3,0.0004,0.0486,0.2954,0.002048,3.7649,4.3728,228.686,""
203,1.024e+06,1,64,1,-1,0.3826,0.0006,0.0704,0.3226,0.002048,3.733,4.4057,226.979,""
204,1.024e+06,1,64,1,-1,0.3473,0.0005,0.0526,0.2973,0.002048,3.7448,4.4174,226.378,""
205,1.024e+06,1,64,1,-1,0.3438,0.0007,0.0631,0.3571,0.003072,3.7407,4.48,223.214,""
206,1.024e+06,1,64,1,-1,0.3078,0.0005,0.0496,0.301,0.002048,3.8905,4.501,222.173,""
207,1.024e+06,1,64,1,-1,0.2989,0.0004,0.0506,0.2981,0.002048,3.7049,4.3827,228.17,""
208,1.024e+06,1,64,1,-1,0.4011,0.0006,0.055,0.3704,0.002048,3.7657,4.4181,226.342,""
209,1.024e+06,1,64,1,-1,0.4483,0.0005,0.0693,0.3692,0.003072,3.9424,4.6506,215.026,""
210,1.024e+06,1,64,1,-1,0.3453,0.0006,0.0642,0.3381,0.002048,3.8302,4.8425,206.505,""
211,1.024e+06,1,64,1,-1,0.2901,0.0007,0.0478,0.2693,0.002048,3.5684,4.4019,227.175,""
212,1.024e+06,1,64,1,-1,0.3514,0.0007,0.0646,0.4122,0.002048,3.7905,4.4046,227.035,""
213,1.024e+06,1,64,1,-1,0.4043,0.0006,0.0569,0.3593,0.002944,3.7991,4.4188,226.306,""
214,1.024e+06,1,64,1,-1,0.3939,0.0005,0.0596,0.4382,0.002048,3.6088,4.4551,224.462,""
215,1.024e+06,1,64,1,-1,0.3192,0.0005,0.0485,0.3065,0.002048,3.699,4.3954,227.511,""
216,1.024e+06,1,64,1,-1,0.3467,0.0005,0.0562,0.2924,0.002048,3.7903,4.4768,223.374,""
217,1.024e+06,1,64,1,-1,0.2767,0.0005,0.0479,0.2734,0.001024,3.89,4.5123,221.616,""
218,1.024e+06,1,64,1,-1,0.4284,0.0005,0.0566,0.3761,0.001024,3.5564,4.3556,229.589,""
219,1.024e+06,1,64,1,-1,0.3918,0.0008,0.0579,0.3418,0.002048,3.4237,4.4071,226.907,""
220,1.024e+06,1,64,1,-1,0.3278,0.0004,0.0546,0.3881,0.002048,3.7591,4.5976,217.505,""
221,1.024e+06,1,64,1,-1,0.3006,0.0004,0.0487,0.2745,0.002976,3.6433,4.5148,221.494,""
222,1.024e+06,1,64,1,-1,0.2962,0.0005,0.0467,0.2684,0.002048,3.7876,4.3844,228.081,""
223,1.024e+06,1,64,1,-1,0.3225,0.0006,0.0463,0.2822,0.002048,3.7915,4.3978,227.386,""
224,1.024e+06,1,64,1,-1,0.3986,0.0008,0.0691,0.374,0.002048,3.6594,4.3767,228.483,""
225,1.024e+06,1,64,1,-1,0.4223,0.0005,0.0517,0.3389,0.003072,3.9265,4.6146,216.704,""
226,1.024e+06,1,64,1,-1,0.3093,0.0004,0.0496,0.311,0.003072,3.6266,4.5414,220.196,""
227,1.024e+06,1,64,1,-1,0.3107,0.0006,0.0494,0.2965,0.002048,3.4815,4.5056,221.946,""
228,1.024e+06,1,64,1,-1,0.3487,0.0007,0.0648,0.3095,0.002048,3.7678,4.3804,228.29,""
229,1.024e+06,1,64,1,-1,0.3825,0.0006,0.0568,0.3586,0.002048,3.7853,4.4172,226.388,""
230,1.024e+06,1,64,1,-1,0.3716,0.0005,0.1862,0.2933,0.002048,3.7591,4.6523,214.947,""
231,1.024e+06,1,64,1,-1,0.3278,0.0005,0.0509,0.2855,0.002048,4.0823,4.7894,208.794,""
232,1.024e+06,1,64,1,-1,0.334,0.0005,0.0634,0.3206,0.002048,3.7583,4.3766,228.488,""
233,1.024e+06,1,64,1,-1,0.313,0.0006,0.0478,0.272,0.001024,3.7931,4.4009,227.226,""
234,1.024e+06,1,64,1,-1,0.3703,0.0004,0.0573,0.3079,0.003008,3.7023,4.421,226.193,""
